"id","model_id","size","manual_price","pneumatic_price","electric_price","gear_price","gate_304_diff","gate_316_diff","rod_304_diff","rod_316_diff","branding_fee","min_order_qty","status","remark","created_at","_openid"
"1516","166","65","0.00","0.00","0.00","750.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:55:39","import"
"1517","166","80","0.00","0.00","0.00","780.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:55:39","import"
"1518","166","100","0.00","0.00","0.00","820.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:55:40","import"
"1519","166","125","0.00","0.00","0.00","880.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:55:40","import"
"1520","166","150","0.00","0.00","0.00","980.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:55:41","import"
"1521","166","200","0.00","0.00","0.00","1160.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:55:41","import"
"1522","166","50","0.00","0.00","0.00","730.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:47","import"
"1523","167","65","0.00","0.00","0.00","720.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:51","import"
"1524","167","80","0.00","0.00","0.00","740.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:51","import"
"1525","167","100","0.00","0.00","0.00","780.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:51","import"
"1526","167","125","0.00","0.00","0.00","830.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:52","import"
"1527","167","150","0.00","0.00","0.00","920.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:52","import"
"1528","167","200","0.00","0.00","0.00","1080.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:56:52","import"
"1529","168","65","0.00","0.00","0.00","870.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:53","import"
"1530","168","80","0.00","0.00","0.00","910.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:54","import"
"1531","168","100","0.00","0.00","0.00","990.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:54","import"
"1532","168","125","0.00","0.00","0.00","1090.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:54","import"
"1533","168","150","0.00","0.00","0.00","1260.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:55","import"
"1534","168","200","0.00","0.00","0.00","1620.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:56:55","import"
"1535","169","65","0.00","0.00","0.00","950.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:56","import"
"1536","169","80","0.00","0.00","0.00","1020.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:56","import"
"1537","169","100","0.00","0.00","0.00","1130.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:56","import"
"1538","169","125","0.00","0.00","0.00","1270.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:57","import"
"1539","169","150","0.00","0.00","0.00","1490.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:56:57","import"
